Local Time,Measurement,Size (nm),Voltage (V),Sheath Flow,Flowmeter Flow,Corona HV (V)
2025 05 11 19 49 11 +0000, 94 190 10.963120 1 0,0.0,0.03434,13.96,13.96,4800.0
2025 05 11 19 49 17 +0000, 85 171 9.866668 1 0,0.0,0.03434,14.09,14.09,4800.0
2025 05 11 19 49 23 +0000, 96 197 11.367068 1 0,0.0,0.03434,13.96,13.96,4800.0
2025 05 11 19 49 29 +0000, 101 204 11.771056 1 0,0.0,0.03434,14.06,14.06,4800.0
2025 05 11 19 49 36 +0000, 90 184 10.616856 1 0,0.0,0.03434,14.01,14.01,4800.0
2025 05 11 19 49 42 +0000, 94 191 11.020823 1 0,0.0,0.03434,13.83,13.83,4800.0
2025 05 11 19 49 48 +0000, 101 206 11.886465 1 0,0.0,0.03434,13.95,13.95,4800.0
2025 05 11 19 49 54 +0000, 88 178 10.270617 1 0,0.0,0.03434,13.88,13.88,4800.0
2025 05 11 19 50 00 +0000, 83 168 9.693542 1 0,0.0,0.03434,14.23,14.23,4800.0
2025 05 11 19 50 06 +0000, 99 202 11.655624 1 0,0.0,0.03434,13.75,13.75,4800.0
2025 05 11 19 50 12 +0000, 84 171 9.866657 1 0,0.0,0.03434,14.13,14.13,4800.0
2025 05 11 19 50 18 +0000, 97 196 11.309376 1 0,0.0,0.03434,14.11,14.11,4800.0
2025 05 11 19 50 24 +0000, 93 189 10.905405 1 0,0.0,0.03434,14.1,14.1,4800.0
2025 05 11 19 50 30 +0000, 90 182 10.501450 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 19 50 37 +0000, 86 176 10.155190 1 0,0.0,0.03434,13.91,13.91,4800.0
2025 05 11 19 50 43 +0000, 91 186 10.732273 1 0,0.0,0.03434,13.71,13.71,4800.0
2025 05 11 19 50 49 +0000, 94 188 10.847713 1 0,0.0,0.03434,14.14,14.14,4800.0
2025 05 11 19 50 55 +0000, 84 170 9.808955 1 0,0.0,0.03434,14.17,14.17,4800.0
2025 05 11 19 51 01 +0000, 85 173 9.982073 1 0,0.0,0.03434,13.81,13.81,4800.0
2025 05 11 19 51 07 +0000, 88 179 10.328320 1 0,0.0,0.03434,14.18,14.18,4800.0
2025 05 11 19 51 13 +0000, 81 164 9.462712 1 0,0.0,0.03434,14.1,14.1,4800.0
2025 05 11 19 51 19 +0000, 88 179 10.328320 1 0,0.0,0.03434,14.06,14.06,4800.0
2025 05 11 19 51 25 +0000, 87 176 10.155201 1 0,0.0,0.03434,13.95,13.95,4800.0
2025 05 11 19 51 31 +0000, 82 169 9.751233 1 0,0.0,0.03434,13.9,13.9,4800.0
2025 05 11 19 51 38 +0000, 82 169 9.751233 1 0,0.0,0.03434,14.15,14.15,4800.0
2025 05 11 19 51 44 +0000, 83 170 9.808946 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 19 51 50 +0000, 92 187 10.789988 1 0,0.0,0.03434,14.01,14.01,4800.0
2025 05 11 19 51 56 +0000, 78 158 9.116473 1 0,0.0,0.03434,14.14,14.14,4800.0
2025 05 11 19 52 02 +0000, 101 205 11.828761 1 0,0.0,0.03434,13.74,13.74,4800.0
2025 05 11 19 52 08 +0000, 95 194 11.193946 1 0,0.0,0.03434,13.84,13.84,4800.0
2025 05 11 19 52 14 +0000, 93 190 10.963109 1 0,0.0,0.03434,13.92,13.92,4800.0
2025 05 11 19 52 20 +0000, 89 181 10.443736 1 0,0.0,0.03434,13.8,13.8,4800.0
2025 05 11 19 52 26 +0000, 100 203 11.713340 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 19 52 32 +0000, 94 191 11.020823 1 0,0.0,0.03434,14.16,14.16,4800.0
2025 05 11 19 52 39 +0000, 91 185 10.674570 1 0,0.0,0.03434,14.02,14.02,4800.0
2025 05 11 19 52 45 +0000, 104 214 12.348140 1 0,0.0,0.03434,13.87,13.87,4800.0
2025 05 11 19 52 51 +0000, 89 180 10.386032 1 0,0.0,0.03434,13.93,13.93,4800.0
2025 05 11 19 52 57 +0000, 84 170 9.808955 1 0,0.0,0.03434,13.98,13.98,4800.0
2025 05 11 19 53 03 +0000, 76 155 8.943350 1 0,0.0,0.03434,13.81,13.81,4800.0
2025 05 11 19 53 09 +0000, 89 180 10.386032 1 0,0.0,0.03434,13.77,13.77,4800.0
2025 05 11 19 53 15 +0000, 88 180 10.386022 1 0,0.0,0.03434,14.03,14.03,4800.0
2025 05 11 19 53 21 +0000, 75 153 8.827939 1 0,0.0,0.03434,13.71,13.71,4800.0
2025 05 11 19 53 27 +0000, 92 186 10.732284 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 19 53 33 +0000, 90 182 10.501450 1 0,0.0,0.03434,14.07,14.07,4800.0
2025 05 11 19 53 40 +0000, 89 181 10.443736 1 0,0.0,0.03434,14.11,14.11,4800.0
2025 05 11 19 53 46 +0000, 86 174 10.039785 1 0,0.0,0.03434,14.09,14.09,4800.0
2025 05 11 19 53 52 +0000, 95 196 11.309354 1 0,0.0,0.03434,13.97,13.97,4800.0
2025 05 11 19 53 58 +0000, 87 177 10.212904 1 0,0.0,0.03434,13.99,13.99,4800.0
2025 05 11 19 54 04 +0000, 87 176 10.155201 1 0,0.0,0.03434,13.98,13.98,4800.0
2025 05 11 19 54 10 +0000, 90 185 10.674560 1 0,0.0,0.03434,14.14,14.14,4800.0
2025 05 11 19 54 16 +0000, 143 306 17.657822 1 0,0.0,0.03434,14.16,14.16,4800.0
2025 05 11 19 54 22 +0000, 85 175 10.097478 1 0,0.0,0.03434,14.12,14.12,4800.0
2025 05 11 19 54 28 +0000, 99 202 11.655624 1 0,0.0,0.03434,14.27,14.27,4800.0
2025 05 11 19 54 34 +0000, 93 191 11.020813 1 0,0.0,0.03434,13.58,13.58,4800.0
2025 05 11 19 54 41 +0000, 92 185 10.674582 1 0,0.0,0.03434,13.93,13.93,4800.0
2025 05 11 19 54 47 +0000, 82 170 9.808935 1 0,0.0,0.03434,14.14,14.14,4800.0
2025 05 11 19 54 53 +0000, 83 169 9.751243 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 19 54 59 +0000, 94 190 10.963120 1 0,0.0,0.03434,13.61,13.61,4800.0
2025 05 11 19 55 05 +0000, 87 175 10.097498 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 19 55 11 +0000, 86 175 10.097487 1 0,0.0,0.03434,14.13,14.13,4800.0
2025 05 11 19 55 17 +0000, 90 182 10.501450 1 0,0.0,0.03434,14.1,14.1,4800.0
2025 05 11 19 55 23 +0000, 91 182 10.501460 1 0,0.0,0.03434,13.77,13.77,4800.0
2025 05 11 19 55 29 +0000, 96 193 11.136253 1 0,0.0,0.03434,14.01,14.01,4800.0
2025 05 11 19 55 35 +0000, 81 166 9.578116 1 0,0.0,0.03434,13.87,13.87,4800.0
2025 05 11 19 55 42 +0000, 80 164 9.462703 1 0,0.0,0.03434,13.86,13.86,4800.0
2025 05 11 19 55 48 +0000, 96 195 11.251661 1 0,0.0,0.03434,14.12,14.12,4800.0
2025 05 11 19 55 54 +0000, 90 182 10.501450 1 0,0.0,0.03434,13.98,13.98,4800.0
2025 05 11 19 56 00 +0000, 97 196 11.309376 1 0,0.0,0.03434,13.95,13.95,4800.0
2025 05 11 19 56 06 +0000, 93 190 10.963109 1 0,0.0,0.03434,14.09,14.09,4800.0
2025 05 11 19 56 12 +0000, 75 153 8.827939 1 0,0.0,0.03434,13.87,13.87,4800.0
2025 05 11 19 56 18 +0000, 85 175 10.097478 1 0,0.0,0.03434,14.11,14.11,4800.0
2025 05 11 19 56 24 +0000, 91 184 10.616867 1 0,0.0,0.03434,14.09,14.09,4800.0
2025 05 11 19 56 30 +0000, 85 173 9.982073 1 0,0.0,0.03434,13.77,13.77,4800.0
2025 05 11 19 56 36 +0000, 85 175 10.097478 1 0,0.0,0.03434,14.05,14.05,4800.0
2025 05 11 19 56 43 +0000, 76 155 8.943350 1 0,0.0,0.03434,13.95,13.95,4800.0
2025 05 11 19 56 49 +0000, 89 180 10.386032 1 0,0.0,0.03434,13.95,13.95,4800.0
2025 05 11 19 56 55 +0000, 95 193 11.136242 1 0,0.0,0.03434,14.03,14.03,4800.0
2025 05 11 19 57 01 +0000, 74 148 8.539424 1 0,0.0,0.03434,14.09,14.09,4800.0
2025 05 11 19 57 07 +0000, 92 187 10.789988 1 0,0.0,0.03434,14.13,14.13,4800.0
2025 05 11 19 57 13 +0000, 77 158 9.116465 1 0,0.0,0.03434,13.96,13.96,4800.0
2025 05 11 19 57 19 +0000, 82 164 9.462722 1 0,0.0,0.03434,13.96,13.96,4800.0
2025 05 11 19 57 25 +0000, 92 189 10.905395 1 0,0.0,0.03434,13.86,13.86,4800.0
2025 05 11 19 57 31 +0000, 92 189 10.905395 1 0,0.0,0.03434,13.81,13.81,4800.0
2025 05 11 19 57 37 +0000, 100 202 11.655636 1 0,0.0,0.03434,14.03,14.03,4800.0
2025 05 11 19 57 44 +0000, 88 179 10.328320 1 0,0.0,0.03434,14.21,14.21,4800.0
2025 05 11 19 57 50 +0000, 103 207 11.944194 1 0,0.0,0.03434,13.79,13.79,4800.0
2025 05 11 19 57 56 +0000, 94 191 11.020823 1 0,0.0,0.03434,14.1,14.1,4800.0
2025 05 11 19 58 02 +0000, 79 160 9.231886 1 0,0.0,0.03434,14.11,14.11,4800.0
2025 05 11 19 58 08 +0000, 83 168 9.693542 1 0,0.0,0.03434,14.19,14.19,4800.0
2025 05 11 19 58 14 +0000, 96 196 11.309365 1 0,0.0,0.03434,14.22,14.22,4800.0
2025 05 11 19 58 20 +0000, 100 202 11.655636 1 0,0.0,0.03434,14.14,14.14,4800.0
2025 05 11 19 58 26 +0000, 79 160 9.231886 1 0,0.0,0.03434,14.01,14.01,4800.0
2025 05 11 19 58 32 +0000, 98 198 11.424795 1 0,0.0,0.03434,14.17,14.17,4800.0
2025 05 11 19 58 38 +0000, 78 158 9.116473 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 19 58 45 +0000, 84 170 9.808955 1 0,0.0,0.03434,13.95,13.95,4800.0
2025 05 11 19 58 51 +0000, 84 170 9.808955 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 19 58 57 +0000, 76 153 8.827948 1 0,0.0,0.03434,14.1,14.1,4800.0
2025 05 11 19 59 03 +0000, 92 188 10.847692 1 0,0.0,0.03434,14.01,14.01,4800.0
2025 05 11 19 59 09 +0000, 84 171 9.866657 1 0,0.0,0.03434,14.02,14.02,4800.0
2025 05 11 19 59 15 +0000, 97 197 11.367080 1 0,0.0,0.03434,14.03,14.03,4800.0
2025 05 11 19 59 21 +0000, 89 181 10.443736 1 0,0.0,0.03434,14.12,14.12,4800.0
2025 05 11 19 59 27 +0000, 83 167 9.635839 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 19 59 33 +0000, 91 185 10.674570 1 0,0.0,0.03434,14.1,14.1,4800.0
2025 05 11 19 59 39 +0000, 86 173 9.982082 1 0,0.0,0.03434,13.7,13.7,4800.0
2025 05 11 19 59 46 +0000, 92 186 10.732284 1 0,0.0,0.03434,14.11,14.11,4800.0
2025 05 11 19 59 52 +0000, 79 160 9.231886 1 0,0.0,0.03434,13.79,13.79,4800.0
2025 05 11 19 59 58 +0000, 87 177 10.212904 1 0,0.0,0.03434,14.05,14.05,4800.0
2025 05 11 20 00 04 +0000, 94 193 11.136230 1 0,0.0,0.03434,14.13,14.13,4800.0
2025 05 11 20 00 10 +0000, 94 189 10.905416 1 0,0.0,0.03434,13.92,13.92,4800.0
2025 05 11 20 00 16 +0000, 93 189 10.905405 1 0,0.0,0.03434,14.18,14.18,4800.0
2025 05 11 20 00 22 +0000, 87 177 10.212904 1 0,0.0,0.03434,14.14,14.14,4800.0
2025 05 11 20 00 28 +0000, 96 193 11.136253 1 0,0.0,0.03434,13.93,13.93,4800.0
2025 05 11 20 00 34 +0000, 77 157 9.058764 1 0,0.0,0.03434,14.15,14.15,4800.0
2025 05 11 20 00 40 +0000, 85 176 10.155181 1 0,0.0,0.03434,14.12,14.12,4800.0
2025 05 11 20 00 47 +0000, 89 181 10.443736 1 0,0.0,0.03434,14.01,14.01,4800.0
2025 05 11 20 00 53 +0000, 77 156 9.001061 1 0,0.0,0.03434,14.15,14.15,4800.0
2025 05 11 20 00 59 +0000, 95 193 11.136242 1 0,0.0,0.03434,13.74,13.74,4800.0
2025 05 11 20 01 05 +0000, 88 180 10.386022 1 0,0.0,0.03434,13.85,13.85,4800.0
2025 05 11 20 01 11 +0000, 95 192 11.078538 1 0,0.0,0.03434,13.73,13.73,4800.0
2025 05 11 20 01 17 +0000, 85 173 9.982073 1 0,0.0,0.03434,13.87,13.87,4800.0
2025 05 11 20 01 23 +0000, 89 179 10.328330 1 0,0.0,0.03434,13.86,13.86,4800.0
2025 05 11 20 01 29 +0000, 82 168 9.693531 1 0,0.0,0.03434,14.02,14.02,4800.0
2025 05 11 20 01 35 +0000, 83 171 9.866649 1 0,0.0,0.03434,14.18,14.18,4800.0
2025 05 11 20 01 41 +0000, 96 194 11.193957 1 0,0.0,0.03434,14.01,14.01,4800.0
2025 05 11 20 01 48 +0000, 84 170 9.808955 1 0,0.0,0.03434,14.06,14.06,4800.0
2025 05 11 20 01 54 +0000, 85 170 9.808965 1 0,0.0,0.03434,14.07,14.07,4800.0
2025 05 11 20 02 00 +0000, 90 185 10.674560 1 0,0.0,0.03434,14.16,14.16,4800.0
2025 05 11 20 02 06 +0000, 81 165 9.520415 1 0,0.0,0.03434,14.14,14.14,4800.0
2025 05 11 20 02 12 +0000, 79 161 9.289588 1 0,0.0,0.03434,14.18,14.18,4800.0
2025 05 11 20 02 18 +0000, 90 183 10.559153 1 0,0.0,0.03434,13.6,13.6,4800.0
2025 05 11 20 02 24 +0000, 79 160 9.231886 1 0,0.0,0.03434,14.1,14.1,4800.0
2025 05 11 20 02 30 +0000, 78 158 9.116473 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 20 02 36 +0000, 87 173 9.982093 1 0,0.0,0.03434,13.89,13.89,4800.0
2025 05 11 20 02 42 +0000, 93 187 10.789998 1 0,0.0,0.03434,14.03,14.03,4800.0
2025 05 11 20 02 49 +0000, 72 146 8.424005 1 0,0.0,0.03434,14,14,4800.0
2025 05 11 20 02 55 +0000, 91 185 10.674570 1 0,0.0,0.03434,13.93,13.93,4800.0
2025 05 11 20 03 01 +0000, 82 165 9.520425 1 0,0.0,0.03434,14.12,14.12,4800.0
2025 05 11 20 03 07 +0000, 75 154 8.885640 1 0,0.0,0.03434,13.84,13.84,4800.0
2025 05 11 20 03 13 +0000, 80 164 9.462703 1 0,0.0,0.03434,13.93,13.93,4800.0
2025 05 11 20 03 19 +0000, 105 214 12.348152 1 0,0.0,0.03434,13.91,13.91,4800.0
2025 05 11 20 03 25 +0000, 83 169 9.751243 1 0,0.0,0.03434,14.07,14.07,4800.0
2025 05 11 20 03 31 +0000, 90 183 10.559153 1 0,0.0,0.03434,14.07,14.07,4800.0
2025 05 11 20 03 37 +0000, 87 175 10.097498 1 0,0.0,0.03434,14.29,14.29,4800.0
2025 05 11 20 03 43 +0000, 85 173 9.982073 1 0,0.0,0.03434,13.87,13.87,4800.0
2025 05 11 20 03 50 +0000, 79 161 9.289588 1 0,0.0,0.03434,14.04,14.04,4800.0
2025 05 11 20 03 56 +0000, 88 177 10.212914 1 0,0.0,0.03434,13.85,13.85,4800.0
2025 05 11 20 04 02 +0000, 83 169 9.751243 1 0,0.0,0.03434,14.19,14.19,4800.0
2025 05 11 20 04 08 +0000, 87 176 10.155201 1 0,0.0,0.03434,13.93,13.93,4800.0
2025 05 11 20 04 14 +0000, 87 176 10.155201 1 0,0.0,0.03434,13.87,13.87,4800.0
2025 05 11 20 04 20 +0000, 78 157 9.058772 1 0,0.0,0.03434,13.9,13.9,4800.0
2025 05 11 20 04 26 +0000, 94 191 11.020823 1 0,0.0,0.03434,13.96,13.96,4800.0
2025 05 11 20 04 32 +0000, 90 182 10.501450 1 0,0.0,0.03434,14.09,14.09,4800.0
2025 05 11 20 04 38 +0000, 89 178 10.270627 1 0,0.0,0.03434,14.09,14.09,4800.0
2025 05 11 20 04 44 +0000, 80 162 9.347300 1 0,0.0,0.03434,13.89,13.89,4800.0
2025 05 11 20 04 51 +0000, 80 162 9.347300 1 0,0.0,0.03434,13.88,13.88,4800.0
2025 05 11 20 04 57 +0000, 88 180 10.386022 1 0,0.0,0.03434,14.1,14.1,4800.0
2025 05 11 20 05 03 +0000, 90 182 10.501450 1 0,0.0,0.03434,14.22,14.22,4800.0
2025 05 11 20 05 09 +0000, 88 180 10.386022 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 20 05 15 +0000, 85 173 9.982073 1 0,0.0,0.03434,14.15,14.15,4800.0
2025 05 11 20 05 21 +0000, 91 186 10.732273 1 0,0.0,0.03434,14.21,14.21,4800.0
2025 05 11 20 05 27 +0000, 91 185 10.674570 1 0,0.0,0.03434,13.63,13.63,4800.0
2025 05 11 20 05 33 +0000, 92 186 10.732284 1 0,0.0,0.03434,13.92,13.92,4800.0
2025 05 11 20 05 39 +0000, 84 172 9.924359 1 0,0.0,0.03434,14.27,14.27,4800.0
2025 05 11 20 05 45 +0000, 87 177 10.212904 1 0,0.0,0.03434,13.88,13.88,4800.0
2025 05 11 20 05 52 +0000, 88 178 10.270617 1 0,0.0,0.03434,13.92,13.92,4800.0
2025 05 11 20 05 58 +0000, 88 178 10.270617 1 0,0.0,0.03434,14.15,14.15,4800.0
2025 05 11 20 06 04 +0000, 73 150 8.654818 1 0,0.0,0.03434,13.94,13.94,4800.0
2025 05 11 20 06 10 +0000, 83 170 9.808946 1 0,0.0,0.03434,14.15,14.15,4800.0
2025 05 11 20 06 16 +0000, 86 174 10.039785 1 0,0.0,0.03434,14.2,14.2,4800.0
2025 05 11 20 06 22 +0000, 96 192 11.078549 1 0,0.0,0.03434,13.75,13.75,4800.0
2025 05 11 20 06 28 +0000, 78 158 9.116473 1 0,0.0,0.03434,14.12,14.12,4800.0
2025 05 11 20 06 34 +0000, 86 176 10.155190 1 0,0.0,0.03434,14.07,14.07,4800.0
2025 05 11 20 06 40 +0000, 87 176 10.155201 1 0,0.0,0.03434,14.09,14.09,4800.0
2025 05 11 20 06 46 +0000, 96 196 11.309365 1 0,0.0,0.03434,14.14,14.14,4800.0
2025 05 11 20 06 53 +0000, 80 163 9.405001 1 0,0.0,0.03434,14.11,14.11,4800.0
2025 05 11 20 06 59 +0000, 78 157 9.058772 1 0,0.0,0.03434,14.05,14.05,4800.0
2025 05 11 20 07 05 +0000, 96 194 11.193957 1 0,0.0,0.03434,13.72,13.72,4800.0
2025 05 11 20 07 13 +0000, 79 160 9.231886 1 0,0.0,0.03434,14.11,14.11,0.0
2025 05 11 20 07 19 +0000, 80 161 9.289597 1 0,0.0,0.03434,14.32,14.32,0.0
2025 05 11 20 07 25 +0000, 76 154 8.885650 1 0,0.0,0.03434,14.14,14.14,0.0
2025 05 11 20 07 31 +0000, 76 154 8.885650 1 0,0.0,0.03434,13.96,13.96,0.0
2025 05 11 20 07 37 +0000, 76 152 8.770246 1 0,0.0,0.03434,14.25,14.25,0.0
2025 05 11 20 07 44 +0000, 84 168 9.693550 1 0,0.0,0.03434,13.97,13.97,0.0
2025 05 11 20 07 50 +0000, 72 147 8.481706 1 0,0.0,0.03434,14.17,14.17,0.0
2025 05 11 20 07 56 +0000, 86 174 10.039785 1 0,0.0,0.03434,14.04,14.04,0.0
2025 05 11 20 08 02 +0000, 82 165 9.520425 1 0,0.0,0.03434,14.03,14.03,0.0
2025 05 11 20 08 08 +0000, 81 163 9.405010 1 0,0.0,0.03434,13.96,13.96,0.0
2025 05 11 20 08 16 +0000, 88 178 10.270617 1 0,30.0,0.18804222222222225,14.09,14.09,4800.0
2025 05 11 20 08 22 +0000, 235 490 28.279633 1 0,30.0,0.18804222222222225,13.99,13.99,4800.0
2025 05 11 20 08 28 +0000, 268 552 31.859467 1 0,30.0,0.18804222222222225,13.94,13.94,4800.0
2025 05 11 20 08 34 +0000, 266 552 31.859404 1 0,30.0,0.18804222222222225,13.87,13.87,4800.0
2025 05 11 20 08 41 +0000, 260 540 31.166517 1 0,30.0,0.18804222222222225,14.07,14.07,4800.0
2025 05 11 20 08 47 +0000, 271 561 32.379089 1 0,30.0,0.18804222222222225,13.98,13.98,4800.0
2025 05 11 20 08 53 +0000, 284 586 33.822681 1 0,30.0,0.18804222222222225,14.24,14.24,4800.0
2025 05 11 20 08 59 +0000, 271 558 32.205914 1 0,30.0,0.18804222222222225,14.17,14.17,4800.0
2025 05 11 20 09 05 +0000, 304 630 36.363438 1 0,30.0,0.18804222222222225,14.16,14.16,4800.0
2025 05 11 20 09 11 +0000, 268 554 31.974915 1 0,30.0,0.18804222222222225,14.17,14.17,4800.0
2025 05 11 20 09 17 +0000, 284 587 33.880409 1 0,30.0,0.18804222222222225,14.01,14.01,4800.0
2025 05 11 20 09 23 +0000, 268 554 31.974915 1 0,30.0,0.18804222222222225,14.05,14.05,4800.0
2025 05 11 20 09 29 +0000, 259 533 30.762415 1 0,30.0,0.18804222222222225,13.84,13.84,4800.0
2025 05 11 20 09 35 +0000, 269 557 32.148125 1 0,30.0,0.18804222222222225,14.09,14.09,4800.0
2025 05 11 20 09 42 +0000, 268 554 31.974915 1 0,30.0,0.18804222222222225,14.02,14.02,4800.0
2025 05 11 20 09 48 +0000, 264 545 31.455263 1 0,30.0,0.18804222222222225,14.21,14.21,4800.0
2025 05 11 20 09 54 +0000, 273 565 32.610058 1 0,30.0,0.18804222222222225,13.9,13.9,4800.0
2025 05 11 20 10 00 +0000, 282 583 33.649433 1 0,30.0,0.18804222222222225,14.13,14.13,4800.0
2025 05 11 20 10 06 +0000, 257 532 30.704630 1 0,30.0,0.18804222222222225,14.15,14.15,4800.0
2025 05 11 20 10 12 +0000, 268 554 31.974915 1 0,30.0,0.18804222222222225,13.92,13.92,4800.0
2025 05 11 20 10 18 +0000, 275 570 32.898754 1 0,30.0,0.18804222222222225,14,14,4800.0
2025 05 11 20 10 24 +0000, 268 554 31.974915 1 0,30.0,0.18804222222222225,14.15,14.15,4800.0
2025 05 11 20 10 30 +0000, 312 642 37.056492 1 0,30.0,0.18804222222222225,13.93,13.93,4800.0
2025 05 11 20 10 37 +0000, 284 584 33.707226 1 0,30.0,0.18804222222222225,14.15,14.15,4800.0
2025 05 11 20 10 43 +0000, 288 595 34.342365 1 0,30.0,0.18804222222222225,14.18,14.18,4800.0
2025 05 11 20 10 49 +0000, 270 555 32.032703 1 0,30.0,0.18804222222222225,13.87,13.87,4800.0
2025 05 11 20 10 55 +0000, 271 560 32.321369 1 0,30.0,0.18804222222222225,14.07,14.07,4800.0
2025 05 11 20 11 01 +0000, 286 588 33.938202 1 0,30.0,0.18804222222222225,13.87,13.87,4800.0
2025 05 11 20 11 07 +0000, 267 557 32.148064 1 0,30.0,0.18804222222222225,13.81,13.81,4800.0
2025 05 11 20 11 13 +0000, 286 591 34.111385 1 0,30.0,0.18804222222222225,14.03,14.03,4800.0
2025 05 11 20 11 19 +0000, 268 553 31.917191 1 0,30.0,0.18804222222222225,13.93,13.93,4800.0
2025 05 11 20 11 25 +0000, 257 534 30.820080 1 0,30.0,0.18804222222222225,14.21,14.21,4800.0
2025 05 11 20 11 31 +0000, 273 562 32.436882 1 0,30.0,0.18804222222222225,14.12,14.12,4800.0
2025 05 11 20 11 38 +0000, 288 592 34.169182 1 0,30.0,0.18804222222222225,13.77,13.77,4800.0
2025 05 11 20 11 44 +0000, 264 546 31.512989 1 0,30.0,0.18804222222222225,14.03,14.03,4800.0
2025 05 11 20 11 50 +0000, 273 563 32.494610 1 0,30.0,0.18804222222222225,14.2,14.2,4800.0
2025 05 11 20 11 56 +0000, 281 579 33.418491 1 0,30.0,0.18804222222222225,14.1,14.1,4800.0
2025 05 11 20 12 02 +0000, 273 565 32.610058 1 0,30.0,0.18804222222222225,14.06,14.06,4800.0
2025 05 11 20 12 08 +0000, 271 560 32.321369 1 0,30.0,0.18804222222222225,13.92,13.92,4800.0
2025 05 11 20 12 14 +0000, 279 576 33.245243 1 0,30.0,0.18804222222222225,13.65,13.65,4800.0
2025 05 11 20 12 20 +0000, 296 609 35.150837 1 0,30.0,0.18804222222222225,13.97,13.97,4800.0
2025 05 11 20 12 26 +0000, 290 597 34.457890 1 0,30.0,0.18804222222222225,13.95,13.95,4800.0
2025 05 11 20 12 32 +0000, 248 512 29.549892 1 0,30.0,0.18804222222222225,14.19,14.19,4800.0
2025 05 11 20 12 38 +0000, 284 584 33.707226 1 0,30.0,0.18804222222222225,13.93,13.93,4800.0
2025 05 11 20 12 45 +0000, 267 552 31.859436 1 0,30.0,0.18804222222222225,13.79,13.79,4800.0
2025 05 11 20 12 51 +0000, 257 531 30.646908 1 0,30.0,0.18804222222222225,13.99,13.99,4800.0
2025 05 11 20 12 57 +0000, 265 547 31.570745 1 0,30.0,0.18804222222222225,14,14,4800.0
2025 05 11 20 13 03 +0000, 288 596 34.400093 1 0,30.0,0.18804222222222225,13.79,13.79,4800.0
2025 05 11 20 13 09 +0000, 259 539 31.108759 1 0,30.0,0.18804222222222225,14,14,4800.0
2025 05 11 20 13 15 +0000, 279 578 33.360699 1 0,30.0,0.18804222222222225,13.76,13.76,4800.0
2025 05 11 20 13 21 +0000, 278 575 33.187489 1 0,30.0,0.18804222222222225,13.65,13.65,4800.0
