Local Time,Measurement,Size (nm),Voltage (V),Sheath Flow,Flowmeter Flow,Corona HV (V)
2025 05 11 17 12 58 +0200, 129 272 15.695475 1 0,0.0,0.03434,14.23,14.23,4800.0
2025 05 11 17 13 04 +0200, 142 299 17.253834 1 0,0.0,0.03434,14.02,14.02,4800.0
2025 05 11 17 13 10 +0200, 137 289 16.676655 1 0,0.0,0.03434,14.07,14.07,4800.0
2025 05 11 17 13 16 +0200, 128 272 15.695458 1 0,0.0,0.03434,13.81,13.81,4800.0
2025 05 11 17 13 22 +0200, 142 306 17.657804 1 0,0.0,0.03434,13.82,13.82,4800.0
2025 05 11 17 13 28 +0200, 126 266 15.349179 1 0,0.0,0.03434,14.04,14.04,4800.0
2025 05 11 17 13 34 +0200, 125 265 15.291457 1 0,0.0,0.03434,14.17,14.17,4800.0
2025 05 11 17 13 40 +0200, 139 292 16.849813 1 0,0.0,0.03434,14.03,14.03,4800.0
2025 05 11 17 13 46 +0200, 121 256 14.772029 1 0,0.0,0.03434,14.14,14.14,4800.0
2025 05 11 17 13 52 +0200, 136 285 16.445801 1 0,0.0,0.03434,13.84,13.84,4800.0
2025 05 11 17 13 59 +0200, 124 259 14.945195 1 0,0.0,0.03434,13.88,13.88,4800.0
2025 05 11 17 14 05 +0200, 118 248 14.310328 1 0,0.0,0.03434,14.03,14.03,4800.0
2025 05 11 17 14 11 +0200, 123 260 15.002888 1 0,0.0,0.03434,14.21,14.21,4800.0
2025 05 11 17 14 17 +0200, 115 244 14.079458 1 0,0.0,0.03434,14.12,14.12,4800.0
2025 05 11 17 14 23 +0200, 116 247 14.252593 1 0,0.0,0.03434,14.2,14.2,4800.0
2025 05 11 17 14 29 +0200, 114 240 13.848619 1 0,0.0,0.03434,14.11,14.11,4800.0
2025 05 11 17 14 35 +0200, 126 263 15.176056 1 0,0.0,0.03434,14.02,14.02,4800.0
2025 05 11 17 14 41 +0200, 133 282 16.272623 1 0,0.0,0.03434,14.11,14.11,4800.0
2025 05 11 17 14 47 +0200, 129 273 15.753183 1 0,0.0,0.03434,13.81,13.81,4800.0
2025 05 11 17 14 53 +0200, 116 249 14.368006 1 0,0.0,0.03434,14.04,14.04,4800.0
2025 05 11 17 15 00 +0200, 124 262 15.118319 1 0,0.0,0.03434,14.01,14.01,4800.0
2025 05 11 17 15 06 +0200, 132 278 16.041773 1 0,0.0,0.03434,14.02,14.02,4800.0
2025 05 11 17 15 12 +0200, 126 266 15.349179 1 0,0.0,0.03434,13.79,13.79,4800.0
2025 05 11 17 15 18 +0200, 124 262 15.118319 1 0,0.0,0.03434,13.72,13.72,4800.0
2025 05 11 17 15 24 +0200, 120 252 14.541184 1 0,0.0,0.03434,14.09,14.09,4800.0
2025 05 11 17 15 30 +0200, 126 265 15.291472 1 0,0.0,0.03434,13.99,13.99,4800.0
2025 05 11 17 15 36 +0200, 124 261 15.060611 1 0,0.0,0.03434,13.79,13.79,4800.0
2025 05 11 17 15 42 +0200, 119 254 14.656584 1 0,0.0,0.03434,14.19,14.19,4800.0
2025 05 11 17 15 48 +0200, 142 302 17.426964 1 0,0.0,0.03434,13.87,13.87,4800.0
2025 05 11 17 15 54 +0200, 136 287 16.561218 1 0,0.0,0.03434,14.05,14.05,4800.0
2025 05 11 17 16 01 +0200, 125 264 15.233748 1 0,0.0,0.03434,14.06,14.06,4800.0
2025 05 11 17 16 07 +0200, 128 270 15.580043 1 0,0.0,0.03434,14.29,14.29,4800.0
2025 05 11 17 16 13 +0200, 141 301 17.369236 1 0,0.0,0.03434,14.06,14.06,4800.0
2025 05 11 17 16 19 +0200, 134 283 16.330351 1 0,0.0,0.03434,13.92,13.92,4800.0
2025 05 11 17 16 25 +0200, 125 263 15.176041 1 0,0.0,0.03434,13.92,13.92,4800.0
2025 05 11 17 16 31 +0200, 129 272 15.695475 1 0,0.0,0.03434,13.92,13.92,4800.0
2025 05 11 17 16 37 +0200, 136 289 16.676638 1 0,0.0,0.03434,14.09,14.09,4800.0
2025 05 11 17 16 43 +0200, 141 298 17.196106 1 0,0.0,0.03434,14.18,14.18,4800.0
2025 05 11 17 16 49 +0200, 146 307 17.715584 1 0,0.0,0.03434,14.1,14.1,4800.0
2025 05 11 17 16 55 +0200, 128 271 15.637751 1 0,0.0,0.03434,13.98,13.98,4800.0
2025 05 11 17 17 02 +0200, 122 262 15.118289 1 0,0.0,0.03434,13.97,13.97,4800.0
2025 05 11 17 17 08 +0200, 125 262 15.118334 1 0,0.0,0.03434,14.32,14.32,4800.0
2025 05 11 17 17 14 +0200, 115 242 13.964046 1 0,0.0,0.03434,13.84,13.84,4800.0
2025 05 11 17 17 20 +0200, 129 270 15.580058 1 0,0.0,0.03434,13.89,13.89,4800.0
2025 05 11 17 17 26 +0200, 129 273 15.753183 1 0,0.0,0.03434,13.97,13.97,4800.0
2025 05 11 17 17 32 +0200, 106 222 12.809807 1 0,0.0,0.03434,13.68,13.68,4800.0
2025 05 11 17 17 38 +0200, 123 258 14.887473 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 17 17 44 +0200, 132 280 16.157192 1 0,0.0,0.03434,13.96,13.96,4800.0
2025 05 11 17 17 50 +0200, 117 248 14.310314 1 0,0.0,0.03434,13.9,13.9,4800.0
2025 05 11 17 17 56 +0200, 122 257 14.829750 1 0,0.0,0.03434,14.19,14.19,4800.0
2025 05 11 17 18 03 +0200, 113 237 13.675486 1 0,0.0,0.03434,14.12,14.12,4800.0
2025 05 11 17 18 09 +0200, 129 271 15.637766 1 0,0.0,0.03434,13.86,13.86,4800.0
2025 05 11 17 18 15 +0200, 120 251 14.483478 1 0,0.0,0.03434,13.9,13.9,4800.0
2025 05 11 17 18 21 +0200, 116 245 14.137179 1 0,0.0,0.03434,14.07,14.07,4800.0
2025 05 11 17 18 27 +0200, 124 259 14.945195 1 0,0.0,0.03434,13.73,13.73,4800.0
2025 05 11 17 18 33 +0200, 118 246 14.194915 1 0,0.0,0.03434,13.77,13.77,4800.0
2025 05 11 17 18 39 +0200, 107 224 12.925230 1 0,0.0,0.03434,13.95,13.95,4800.0
2025 05 11 17 18 45 +0200, 126 263 15.176056 1 0,0.0,0.03434,14.05,14.05,4800.0
2025 05 11 17 18 51 +0200, 123 259 14.945181 1 0,0.0,0.03434,13.8,13.8,4800.0
2025 05 11 17 18 57 +0200, 126 262 15.118349 1 0,0.0,0.03434,13.85,13.85,4800.0
2025 05 11 17 19 04 +0200, 129 272 15.695475 1 0,0.0,0.03434,14.13,14.13,4800.0
2025 05 11 17 19 10 +0200, 132 275 15.868648 1 0,0.0,0.03434,14.16,14.16,4800.0
2025 05 11 17 19 16 +0200, 144 306 17.657839 1 0,0.0,0.03434,13.63,13.63,4800.0
2025 05 11 17 19 22 +0200, 123 259 14.945181 1 0,0.0,0.03434,13.74,13.74,4800.0
2025 05 11 17 19 28 +0200, 130 274 15.810907 1 0,0.0,0.03434,13.66,13.66,4800.0
2025 05 11 17 19 34 +0200, 126 265 15.291472 1 0,0.0,0.03434,14.21,14.21,4800.0
2025 05 11 17 19 40 +0200, 132 279 16.099482 1 0,0.0,0.03434,14.2,14.2,4800.0
2025 05 11 17 19 46 +0200, 120 255 14.714306 1 0,0.0,0.03434,14.05,14.05,4800.0
2025 05 11 17 19 52 +0200, 135 288 16.618910 1 0,0.0,0.03434,14.25,14.25,4800.0
2025 05 11 17 19 58 +0200, 139 299 17.253782 1 0,0.0,0.03434,14.01,14.01,4800.0
2025 05 11 17 20 05 +0200, 139 297 17.138363 1 0,0.0,0.03434,13.81,13.81,4800.0
2025 05 11 17 20 11 +0200, 136 291 16.792055 1 0,0.0,0.03434,13.93,13.93,4800.0
2025 05 11 17 20 17 +0200, 132 278 16.041773 1 0,0.0,0.03434,14.04,14.04,4800.0
2025 05 11 17 20 23 +0200, 152 317 18.292801 1 0,0.0,0.03434,14.26,14.26,4800.0
2025 05 11 17 20 29 +0200, 122 258 14.887458 1 0,0.0,0.03434,13.61,13.61,4800.0
2025 05 11 17 20 35 +0200, 141 297 17.138397 1 0,0.0,0.03434,14,14,4800.0
2025 05 11 17 20 41 +0200, 146 309 17.831005 1 0,0.0,0.03434,13.98,13.98,4800.0
2025 05 11 17 20 47 +0200, 132 283 16.330318 1 0,0.0,0.03434,13.96,13.96,4800.0
2025 05 11 17 20 53 +0200, 128 273 15.753167 1 0,0.0,0.03434,14.22,14.22,4800.0
2025 05 11 17 20 59 +0200, 127 269 15.522320 1 0,0.0,0.03434,13.77,13.77,4800.0
2025 05 11 17 21 06 +0200, 124 261 15.060611 1 0,0.0,0.03434,13.69,13.69,4800.0
2025 05 11 17 21 12 +0200, 127 269 15.522320 1 0,0.0,0.03434,13.75,13.75,4800.0
2025 05 11 17 21 18 +0200, 135 286 16.503494 1 0,0.0,0.03434,14.1,14.1,4800.0
2025 05 11 17 21 24 +0200, 134 282 16.272640 1 0,0.0,0.03434,14.18,14.18,4800.0
2025 05 11 17 21 30 +0200, 126 268 15.464596 1 0,0.0,0.03434,13.79,13.79,4800.0
2025 05 11 17 21 36 +0200, 137 290 16.734364 1 0,0.0,0.03434,13.79,13.79,4800.0
2025 05 11 17 21 42 +0200, 141 299 17.253819 1 0,0.0,0.03434,14.12,14.12,4800.0
2025 05 11 17 21 48 +0200, 128 266 15.349210 1 0,0.0,0.03434,14.14,14.14,4800.0
2025 05 11 17 21 54 +0200, 140 292 16.849831 1 0,0.0,0.03434,14.05,14.05,4800.0
2025 05 11 17 22 00 +0200, 130 276 15.926325 1 0,0.0,0.03434,13.96,13.96,4800.0
2025 05 11 17 22 07 +0200, 136 290 16.734346 1 0,0.0,0.03434,14.1,14.1,4800.0
2025 05 11 17 22 13 +0200, 131 280 16.157175 1 0,0.0,0.03434,14,14,4800.0
2025 05 11 17 22 19 +0200, 134 285 16.445766 1 0,0.0,0.03434,14.07,14.07,4800.0
2025 05 11 17 22 25 +0200, 144 305 17.600130 1 0,0.0,0.03434,13.89,13.89,4800.0
2025 05 11 17 22 31 +0200, 132 278 16.041773 1 0,0.0,0.03434,14.11,14.11,4800.0
2025 05 11 17 22 37 +0200, 138 291 16.792088 1 0,0.0,0.03434,13.8,13.8,4800.0
2025 05 11 17 22 43 +0200, 135 286 16.503494 1 0,0.0,0.03434,14.04,14.04,4800.0
2025 05 11 17 22 49 +0200, 135 285 16.445784 1 0,0.0,0.03434,13.98,13.98,4800.0
2025 05 11 17 22 55 +0200, 146 307 17.715584 1 0,0.0,0.03434,14.05,14.05,4800.0
2025 05 11 17 23 01 +0200, 141 300 17.311527 1 0,0.0,0.03434,13.95,13.95,4800.0
2025 05 11 17 23 07 +0200, 140 296 17.080671 1 0,0.0,0.03434,13.75,13.75,4800.0
2025 05 11 17 23 14 +0200, 139 297 17.138363 1 0,0.0,0.03434,14.1,14.1,4800.0
2025 05 11 17 23 20 +0200, 143 304 17.542400 1 0,0.0,0.03434,13.94,13.94,4800.0
2025 05 11 17 23 26 +0200, 138 291 16.792088 1 0,0.0,0.03434,14.05,14.05,4800.0
2025 05 11 17 23 32 +0200, 141 298 17.196106 1 0,0.0,0.03434,14.03,14.03,4800.0
2025 05 11 17 23 38 +0200, 143 308 17.773243 1 0,0.0,0.03434,14,14,4800.0
2025 05 11 17 23 44 +0200, 137 289 16.676655 1 0,0.0,0.03434,13.88,13.88,4800.0
2025 05 11 17 23 50 +0200, 119 251 14.483462 1 0,0.0,0.03434,14.01,14.01,4800.0
2025 05 11 17 23 56 +0200, 138 292 16.849796 1 0,0.0,0.03434,13.92,13.92,4800.0
2025 05 11 17 24 02 +0200, 150 315 18.177341 1 0,0.0,0.03434,14.2,14.2,4800.0
2025 05 11 17 24 08 +0200, 137 291 16.792072 1 0,0.0,0.03434,13.99,13.99,4800.0
2025 05 11 17 24 15 +0200, 137 290 16.734364 1 0,0.0,0.03434,14.17,14.17,4800.0
2025 05 11 17 24 21 +0200, 147 312 18.004154 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 17 24 27 +0200, 139 292 16.849813 1 0,0.0,0.03434,14.13,14.13,4800.0
2025 05 11 17 24 33 +0200, 141 302 17.426947 1 0,0.0,0.03434,14.24,14.24,4800.0
2025 05 11 17 24 39 +0200, 136 288 16.618927 1 0,0.0,0.03434,14.13,14.13,4800.0
2025 05 11 17 24 45 +0200, 144 304 17.542418 1 0,0.0,0.03434,14.23,14.23,4800.0
2025 05 11 17 24 51 +0200, 132 277 15.984065 1 0,0.0,0.03434,14.05,14.05,4800.0
2025 05 11 17 24 57 +0200, 118 251 14.483449 1 0,0.0,0.03434,13.73,13.73,4800.0
2025 05 11 17 25 03 +0200, 116 243 14.021766 1 0,0.0,0.03434,13.96,13.96,4800.0
2025 05 11 17 25 09 +0200, 129 275 15.868600 1 0,0.0,0.03434,14.13,14.13,4800.0
2025 05 11 17 25 16 +0200, 123 260 15.002888 1 0,0.0,0.03434,13.95,13.95,4800.0
2025 05 11 17 25 22 +0200, 130 274 15.810907 1 0,0.0,0.03434,14.24,14.24,4800.0
2025 05 11 17 25 28 +0200, 122 256 14.772043 1 0,0.0,0.03434,14.1,14.1,4800.0
2025 05 11 17 25 34 +0200, 131 278 16.041758 1 0,0.0,0.03434,13.66,13.66,4800.0
2025 05 11 17 25 40 +0200, 129 270 15.580058 1 0,0.0,0.03434,14.19,14.19,4800.0
2025 05 11 17 25 46 +0200, 127 271 15.637735 1 0,0.0,0.03434,14.03,14.03,4800.0
2025 05 11 17 25 52 +0200, 120 250 14.425771 1 0,0.0,0.03434,14.02,14.02,4800.0
2025 05 11 17 25 58 +0200, 117 246 14.194901 1 0,0.0,0.03434,13.82,13.82,4800.0
2025 05 11 17 26 04 +0200, 117 245 14.137194 1 0,0.0,0.03434,13.94,13.94,4800.0
2025 05 11 17 26 10 +0200, 124 264 15.233733 1 0,0.0,0.03434,14.22,14.22,4800.0
2025 05 11 17 26 17 +0200, 120 251 14.483478 1 0,0.0,0.03434,14.1,14.1,4800.0
2025 05 11 17 26 23 +0200, 116 246 14.194886 1 0,0.0,0.03434,14.07,14.07,4800.0
2025 05 11 17 26 29 +0200, 108 228 13.156066 1 0,0.0,0.03434,14.19,14.19,4800.0
2025 05 11 17 26 35 +0200, 108 228 13.156066 1 0,0.0,0.03434,14.25,14.25,4800.0
2025 05 11 17 26 41 +0200, 119 249 14.368049 1 0,0.0,0.03434,14.02,14.02,4800.0
2025 05 11 17 26 47 +0200, 109 228 13.156079 1 0,0.0,0.03434,13.94,13.94,4800.0
2025 05 11 17 26 53 +0200, 113 236 13.617781 1 0,0.0,0.03434,14.04,14.04,4800.0
2025 05 11 17 26 59 +0200, 128 268 15.464625 1 0,0.0,0.03434,14.09,14.09,4800.0
2025 05 11 17 27 05 +0200, 118 246 14.194915 1 0,0.0,0.03434,13.9,13.9,4800.0
2025 05 11 17 27 11 +0200, 121 254 14.656613 1 0,0.0,0.03434,13.74,13.74,4800.0
2025 05 11 17 27 18 +0200, 127 267 15.406903 1 0,0.0,0.03434,13.71,13.71,4800.0
2025 05 11 17 27 24 +0200, 116 241 13.906353 1 0,0.0,0.03434,14.24,14.24,4800.0
2025 05 11 17 27 30 +0200, 120 253 14.598892 1 0,0.0,0.03434,14.12,14.12,4800.0
2025 05 11 17 27 36 +0200, 124 260 15.002902 1 0,0.0,0.03434,13.94,13.94,4800.0
2025 05 11 17 27 42 +0200, 126 268 15.464596 1 0,0.0,0.03434,13.74,13.74,4800.0
2025 05 11 17 27 48 +0200, 118 250 14.425742 1 0,0.0,0.03434,14.02,14.02,4800.0
2025 05 11 17 27 54 +0200, 130 276 15.926325 1 0,0.0,0.03434,13.53,13.53,4800.0
2025 05 11 17 28 00 +0200, 117 247 14.252607 1 0,0.0,0.03434,13.71,13.71,4800.0
2025 05 11 17 28 06 +0200, 132 279 16.099482 1 0,0.0,0.03434,14.25,14.25,4800.0
2025 05 11 17 28 12 +0200, 114 244 14.079445 1 0,0.0,0.03434,14.11,14.11,4800.0
2025 05 11 17 28 19 +0200, 133 280 16.157207 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 17 28 25 +0200, 115 243 14.021751 1 0,0.0,0.03434,13.89,13.89,4800.0
2025 05 11 17 28 33 +0200, 126 266 15.349179 1 0,0.0,0.03434,14.06,14.06,0.0
2025 05 11 17 28 39 +0200, 93 191 11.020813 1 0,0.0,0.03434,14.1,14.1,0.0
2025 05 11 17 28 45 +0200, 80 163 9.405001 1 0,0.0,0.03434,13.95,13.95,0.0
2025 05 11 17 28 51 +0200, 85 172 9.924370 1 0,0.0,0.03434,14,14,0.0
2025 05 11 17 28 57 +0200, 71 145 8.366296 1 0,0.0,0.03434,13.99,13.99,0.0
2025 05 11 17 29 03 +0200, 79 160 9.231886 1 0,0.0,0.03434,13.97,13.97,0.0
2025 05 11 17 29 10 +0200, 79 163 9.404991 1 0,0.0,0.03434,13.95,13.95,0.0
2025 05 11 17 29 16 +0200, 81 165 9.520415 1 0,0.0,0.03434,14.34,14.34,0.0
2025 05 11 17 29 22 +0200, 74 151 8.712528 1 0,0.0,0.03434,14.06,14.06,0.0
2025 05 11 17 29 28 +0200, 86 175 10.097487 1 0,0.0,0.03434,13.88,13.88,0.0
2025 05 11 17 29 36 +0200, 87 179 10.328310 1 0,30.0,0.18804222222222225,14.21,14.21,4800.0
2025 05 11 17 29 42 +0200, 196 405 23.372522 1 0,30.0,0.18804222222222225,13.68,13.68,4800.0
2025 05 11 17 29 48 +0200, 250 520 30.011734 1 0,30.0,0.18804222222222225,13.86,13.86,4800.0
2025 05 11 17 29 54 +0200, 229 479 27.644533 1 0,30.0,0.18804222222222225,14.1,14.1,4800.0
2025 05 11 17 30 01 +0200, 234 489 28.221882 1 0,30.0,0.18804222222222225,13.69,13.69,4800.0
2025 05 11 17 30 07 +0200, 217 454 26.201214 1 0,30.0,0.18804222222222225,13.83,13.83,4800.0
2025 05 11 17 30 13 +0200, 243 505 29.145687 1 0,30.0,0.18804222222222225,14.14,14.14,4800.0
2025 05 11 17 30 19 +0200, 252 524 30.242689 1 0,30.0,0.18804222222222225,14.11,14.11,4800.0
2025 05 11 17 30 25 +0200, 238 495 28.568323 1 0,30.0,0.18804222222222225,14.25,14.25,4800.0
2025 05 11 17 30 31 +0200, 234 487 28.106440 1 0,30.0,0.18804222222222225,13.85,13.85,4800.0
2025 05 11 17 30 37 +0200, 260 544 31.397413 1 0,30.0,0.18804222222222225,14.03,14.03,4800.0
2025 05 11 17 30 43 +0200, 248 517 29.838507 1 0,30.0,0.18804222222222225,13.9,13.9,4800.0
2025 05 11 17 30 49 +0200, 237 494 28.510574 1 0,30.0,0.18804222222222225,13.79,13.79,4800.0
2025 05 11 17 30 55 +0200, 227 475 27.413595 1 0,30.0,0.18804222222222225,13.88,13.88,4800.0
2025 05 11 17 31 02 +0200, 235 494 28.510517 1 0,30.0,0.18804222222222225,14.01,14.01,4800.0
2025 05 11 17 31 08 +0200, 240 500 28.856991 1 0,30.0,0.18804222222222225,13.9,13.9,4800.0
2025 05 11 17 31 14 +0200, 236 494 28.510544 1 0,30.0,0.18804222222222225,13.9,13.9,4800.0
2025 05 11 17 31 20 +0200, 233 490 28.279575 1 0,30.0,0.18804222222222225,13.94,13.94,4800.0
2025 05 11 17 31 26 +0200, 253 530 30.589062 1 0,30.0,0.18804222222222225,13.68,13.68,4800.0
2025 05 11 17 31 32 +0200, 232 482 27.817778 1 0,30.0,0.18804222222222225,14.06,14.06,4800.0
2025 05 11 17 31 38 +0200, 235 492 28.395075 1 0,30.0,0.18804222222222225,14.17,14.17,4800.0
2025 05 11 17 31 44 +0200, 236 492 28.395102 1 0,30.0,0.18804222222222225,13.79,13.79,4800.0
2025 05 11 17 31 50 +0200, 255 532 30.704569 1 0,30.0,0.18804222222222225,13.96,13.96,4800.0
2025 05 11 17 31 56 +0200, 235 488 28.164188 1 0,30.0,0.18804222222222225,13.99,13.99,4800.0
2025 05 11 17 32 03 +0200, 250 523 30.184904 1 0,30.0,0.18804222222222225,13.8,13.8,4800.0
2025 05 11 17 32 09 +0200, 237 494 28.510574 1 0,30.0,0.18804222222222225,14.24,14.24,4800.0
2025 05 11 17 32 15 +0200, 220 459 26.489889 1 0,30.0,0.18804222222222225,13.97,13.97,4800.0
2025 05 11 17 32 21 +0200, 239 497 28.683796 1 0,30.0,0.18804222222222225,13.97,13.97,4800.0
2025 05 11 17 32 27 +0200, 224 467 26.951752 1 0,30.0,0.18804222222222225,13.92,13.92,4800.0
2025 05 11 17 32 33 +0200, 244 515 29.722942 1 0,30.0,0.18804222222222225,14.13,14.13,4800.0
2025 05 11 17 32 39 +0200, 247 516 29.780754 1 0,30.0,0.18804222222222225,14.24,14.24,4800.0
2025 05 11 17 32 45 +0200, 240 502 28.972433 1 0,30.0,0.18804222222222225,13.7,13.7,4800.0
2025 05 11 17 32 51 +0200, 251 521 30.069489 1 0,30.0,0.18804222222222225,14.22,14.22,4800.0
2025 05 11 17 32 57 +0200, 238 502 28.972376 1 0,30.0,0.18804222222222225,14.06,14.06,4800.0
2025 05 11 17 33 04 +0200, 244 507 29.261162 1 0,30.0,0.18804222222222225,13.83,13.83,4800.0
2025 05 11 17 33 10 +0200, 257 538 31.050974 1 0,30.0,0.18804222222222225,13.89,13.89,4800.0
2025 05 11 17 33 16 +0200, 245 511 29.492079 1 0,30.0,0.18804222222222225,14.05,14.05,4800.0
2025 05 11 17 33 22 +0200, 256 531 30.646875 1 0,30.0,0.18804222222222225,14.13,14.13,4800.0
2025 05 11 17 33 28 +0200, 235 490 28.279633 1 0,30.0,0.18804222222222225,14.27,14.27,4800.0
2025 05 11 17 33 34 +0200, 238 495 28.568323 1 0,30.0,0.18804222222222225,14.07,14.07,4800.0
2025 05 11 17 33 40 +0200, 252 521 30.069519 1 0,30.0,0.18804222222222225,14.03,14.03,4800.0
2025 05 11 17 33 46 +0200, 225 466 26.894060 1 0,30.0,0.18804222222222225,13.94,13.94,4800.0
2025 05 11 17 33 52 +0200, 250 521 30.069458 1 0,30.0,0.18804222222222225,13.67,13.67,4800.0
2025 05 11 17 33 58 +0200, 243 507 29.261133 1 0,30.0,0.18804222222222225,14.14,14.14,4800.0
2025 05 11 17 34 05 +0200, 237 497 28.683739 1 0,30.0,0.18804222222222225,14.03,14.03,4800.0
2025 05 11 17 34 11 +0200, 238 499 28.799210 1 0,30.0,0.18804222222222225,13.54,13.54,4800.0
2025 05 11 17 34 17 +0200, 226 471 27.182686 1 0,30.0,0.18804222222222225,14.2,14.2,4800.0
2025 05 11 17 34 23 +0200, 225 470 27.124939 1 0,30.0,0.18804222222222225,13.86,13.86,4800.0
2025 05 11 17 34 29 +0200, 248 519 29.953953 1 0,30.0,0.18804222222222225,13.88,13.88,4800.0
2025 05 11 17 34 35 +0200, 223 465 26.836285 1 0,30.0,0.18804222222222225,13.84,13.84,4800.0
2025 05 11 17 34 41 +0200, 244 511 29.492052 1 0,30.0,0.18804222222222225,14.13,14.13,4800.0
